Id,Predicted
0,481.8|339.7
1,542.7|567.3
2,208.7|394.8
3,580.8|512.6
4,361.3|361.5
5,402.4|533.2
6,220.0|593.0
7,435.4|580.1
8,417.8|339.4
9,429.0|491.2
10,224.7|331.7
11,441.7|582.2
12,474.9|292.2
13,259.8|302.5
14,357.3|586.5
15,252.7|299.4
16,570.3|410.5
17,415.5|572.1
18,379.6|497.0
19,373.7|533.9
20,474.4|364.5
21,254.6|270.7
22,310.2|399.9
23,479.8|462.9
24,536.1|523.1
25,593.4|481.9
26,469.5|269.9
27,300.6|334.2
28,372.3|219.9
29,227.3|321.4
30,438.9|241.3
31,532.3|345.7
32,551.4|255.4
33,267.8|466.2
34,224.8|411.8
35,476.1|322.2
36,595.1|367.9
37,335.9|416.1
38,330.8|352.2
39,269.5|273.8
40,540.7|395.8
41,217.6|395.8
42,470.6|542.6
43,380.3|361.2
44,257.2|334.5
45,341.1|558.7
46,279.5|240.1
47,516.2|459.5
48,376.2|455.7
49,556.6|373.5
50,294.2|337.6
51,299.7|424.0
52,593.5|466.1
53,214.1|498.5
54,400.0|214.2
55,582.4|437.3
56,529.7|516.3
57,257.3|410.7
58,557.3|567.7
59,228.6|442.4
60,317.5|378.8
61,261.8|342.5
62,235.7|581.1
63,384.3|289.4
64,594.2|562.2
65,278.2|475.4
66,530.7|354.8
67,420.3|569.7
68,429.2|572.0
69,593.3|484.9
70,390.1|581.5
71,228.6|422.1
72,353.3|443.5
73,340.3|407.3
74,523.4|500.2
75,382.3|349.5
76,460.7|434.9
77,570.5|356.0
78,552.7|530.4
79,456.9|228.3
80,366.2|538.5
81,238.7|296.3
82,543.8|520.1
83,263.3|541.2
84,431.4|454.1
85,559.3|569.1
86,271.8|416.7
87,397.8|579.0
88,435.2|376.3
89,420.1|253.9
90,554.5|595.2
91,206.3|542.0
92,546.4|380.6
93,530.1|503.5
94,295.7|311.4
95,344.2|512.6
96,393.5|362.0
97,437.2|334.4
98,477.1|469.1
99,531.5|528.5
100,228.4|508.6
101,408.5|443.1
102,241.3|552.5
103,406.3|486.5
104,419.2|524.5
105,434.4|446.5
106,386.7|367.6
107,460.2|450.5
108,400.9|320.9
109,355.7|396.4
110,380.9|270.3
111,463.3|397.2
112,208.6|593.6
113,203.3|502.7
114,473.5|461.0
115,218.0|497.0
116,338.5|552.2
117,346.7|222.4
118,344.4|237.5
119,439.0|231.4
120,205.4|454.0
121,231.1|575.1
122,386.3|308.3
123,592.9|330.8
124,220.0|250.7
125,434.1|549.5
126,545.8|282.7
127,338.7|229.8
128,241.7|271.5
129,525.0|561.9
130,352.6|447.3
131,206.4|500.7
132,346.6|379.3
133,204.1|340.8
134,349.3|563.3
135,574.1|562.6
136,276.6|593.5
137,460.1|430.5
138,587.8|268.9
139,524.2|417.3
140,581.7|388.2
141,281.4|351.0
142,235.4|541.4
143,305.6|322.1
144,478.8|514.0
145,238.3|560.4
146,334.3|420.0
147,564.4|462.7
148,420.2|273.1
149,287.6|309.0
150,405.5|452.8
151,236.6|393.3
152,254.0|319.4
153,480.3|282.0
154,393.3|560.5
155,369.9|272.8
156,471.4|332.8
157,210.4|574.3
158,255.3|307.7
159,289.1|583.3
160,515.8|437.7
161,352.1|453.4
162,245.9|581.5
163,213.6|300.3
164,209.9|496.9
165,593.1|579.4
166,462.3|353.5
167,368.2|590.7
168,531.4|438.7
169,578.1|577.9
170,417.5|316.0
171,233.9|536.7
172,329.6|229.2
173,589.3|537.5
174,438.7|336.6
175,274.9|382.4
176,466.2|339.3
177,292.0|448.6
178,370.2|215.3
179,420.6|433.4
180,444.7|330.1
181,569.0|307.8
182,376.0|488.2
183,592.1|537.4
